,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,city_fix,gender_encoded,relevent_experience_encoded,enrolled_university_encoded,education_level_encoded,major_discipline_encoded,experience_encoded,company_size_encoded,company_type_encoded,last_new_job_encoded
26,18230,city_73,0.754,Male,No relevent experience,no_enrollment,Phd,STEM,15,No information,Other,1,41,0,73,1,1,3,3,5,15,8,3,1
27,5634,city_76,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Pvt Ltd,2,298,0,76,1,0,3,0,5,14,7,5,2
28,11753,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,No information,Other,never,101,0,103,1,0,3,0,0,5,8,3,0
29,20881,city_28,0.9390000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,114,0,28,1,0,3,2,5,10,2,5,1
30,23129,city_103,0.92,Prefer not to say,No relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,1,104,0,103,3,1,3,0,5,8,3,5,1
31,10386,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Early Stage Startup,3,53,0,103,1,0,3,0,5,21,7,0,3
32,5861,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,>4,39,0,104,1,0,3,0,5,16,1,5,5
33,7537,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,11,No information,Other,1,55,0,103,1,0,0,0,5,11,8,3,1
34,14983,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Early Stage Startup,1,23,0,16,1,0,3,2,5,21,7,0,1
35,4957,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,<10,Pvt Ltd,3,20,0,90,1,0,3,0,5,12,7,5,3
36,13970,city_73,0.754,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,NGO,>4,109,0,73,0,0,3,0,5,9,2,2,5
37,5325,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,>4,3,0,103,1,0,3,0,5,5,2,5,5
38,32506,city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,No information,Other,1,68,1,149,1,0,3,0,5,3,8,3,1
39,7006,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,262,0,160,1,0,3,0,5,10,1,5,2
40,5104,city_75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,7,No information,Other,1,16,1,75,1,0,3,2,5,7,8,3,1
41,4653,city_114,0.9259999999999999,Male,No relevent experience,no_enrollment,High School,Other,7,No information,Pvt Ltd,never,22,0,114,1,1,3,1,4,7,8,5,0
42,18048,city_27,0.848,Male,Has relevent experience,Full time course,High School,Other,6,50-99,Pvt Ltd,2,67,0,27,1,0,0,1,4,6,4,5,2
43,8861,city_160,0.92,Prefer not to say,No relevent experience,no_enrollment,Masters,Humanities,2,<10,Early Stage Startup,1,43,0,160,3,1,3,2,2,2,7,0,1
44,10504,city_75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,35,0,75,1,0,3,0,5,21,4,5,5
45,18446,city_30,0.698,Prefer not to say,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Public Sector,3,7,0,30,3,0,3,0,5,8,1,4,3
46,20785,city_28,0.9390000000000001,Male,No relevent experience,Full time course,High School,Other,3,50-99,Public Sector,1,30,0,28,1,1,0,1,4,3,4,4,1
47,32244,city_61,0.9129999999999999,Male,No relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,9,0,61,1,1,3,2,5,21,3,5,2
48,23890,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,2,112,0,103,0,0,3,0,5,9,5,5,2
49,1501,city_99,0.915,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Other,1,20,0,99,1,0,3,0,5,21,5,3,1
50,5298,city_104,0.924,Prefer not to say,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,7,0,104,3,0,3,0,5,10,1,2,1
51,14257,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,13,10/49,NGO,1,21,1,21,1,1,0,0,5,13,0,2,1
52,32472,city_73,0.754,Male,Has relevent experience,Part time course,Graduate,STEM,3,10000+,Public Sector,1,166,0,73,1,0,2,0,5,3,3,4,1
53,31515,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,110,0,103,1,0,3,2,5,21,0,5,5
54,11053,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,Early Stage Startup,1,18,0,103,0,0,3,0,5,4,7,0,1
55,26862,city_103,0.92,Prefer not to say,Has relevent experience,Part time course,Masters,STEM,>20,100-500,Pvt Ltd,>4,79,1,103,3,0,2,2,5,21,1,5,5
56,26834,city_21,0.624,Male,No relevent experience,Full time course,High School,Other,<1,No information,Other,never,11,0,21,1,1,0,1,4,0,8,3,0
57,12935,city_21,0.624,Male,Has relevent experience,No information,Masters,STEM,12,No information,Other,1,98,1,21,1,0,1,2,5,12,8,3,1
58,27162,city_75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,No information,Other,>4,65,0,75,1,0,3,0,5,21,8,3,5
59,27439,city_100,0.887,Male,Has relevent experience,Part time course,Graduate,STEM,15,No information,Other,1,61,0,100,1,0,2,0,5,15,8,3,1
60,11777,city_16,0.91,Female,No relevent experience,Full time course,Graduate,STEM,3,No information,Other,never,34,1,16,0,1,0,0,5,3,8,3,0
61,20501,city_16,0.91,Male,No relevent experience,Full time course,Graduate,No Major,>20,50-99,NGO,>4,44,0,16,1,1,0,0,3,21,4,2,5
62,5735,city_159,0.843,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Funded Startup,2,170,0,159,1,0,3,0,5,3,1,1,2
63,20605,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Other,>4,68,0,114,1,0,3,0,5,14,4,3,5
64,16154,city_103,0.92,Prefer not to say,No relevent experience,Full time course,Graduate,STEM,2,No information,Other,never,132,1,103,3,1,0,0,5,2,8,3,0
65,26681,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,10000+,Pvt Ltd,3,8,1,103,1,0,3,0,1,21,3,5,3
66,9723,city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,Other,6,50-99,Public Sector,2,23,0,41,1,0,3,0,4,6,4,4,2
67,23783,city_90,0.698,Prefer not to say,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,145,0,90,3,1,0,0,5,2,1,5,1
68,24692,city_142,0.727,Male,Has relevent experience,Full time course,Graduate,STEM,5,1000-4999,Pvt Ltd,1,48,0,142,1,0,0,0,5,5,2,5,1
69,18022,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,Pvt Ltd,4,46,0,16,1,0,3,0,5,11,5,5,4
70,27259,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,1,37,0,103,1,0,3,0,5,21,5,5,1
71,1297,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,5000-9999,Pvt Ltd,4,86,0,103,1,0,3,0,5,7,6,5,4
72,21843,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,2,96,0,73,1,0,3,0,5,21,1,5,2
73,29170,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,16,1000-4999,Pvt Ltd,>4,22,0,103,1,0,3,0,4,16,2,5,5
74,28674,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,50-99,Pvt Ltd,>4,33,1,160,1,0,3,0,2,21,4,5,5
75,2196,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,1,152,0,103,1,0,3,0,5,10,3,5,1
76,31802,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,16,No information,Other,3,46,0,64,1,0,3,2,5,16,8,3,3
77,18150,city_97,0.925,Male,Has relevent experience,no_enrollment,Primary School,Other,6,No information,Other,>4,28,0,97,1,0,3,4,4,6,8,3,5
78,26051,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,50-99,Pvt Ltd,1,168,0,114,1,0,3,0,5,19,4,5,1
79,26651,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Public Sector,>4,37,0,61,1,0,3,2,5,21,0,4,5
80,4903,city_67,0.855,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,No information,Other,>4,13,0,67,1,1,3,0,5,21,8,3,5
81,11934,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,4,101,1,160,0,0,3,0,5,10,0,5,4
82,19102,city_9,0.743,Male,Has relevent experience,Full time course,Graduate,Other,19,10/49,Funded Startup,2,128,0,9,1,0,0,0,4,19,0,1,2
83,12006,city_149,0.6890000000000001,Prefer not to say,No relevent experience,Part time course,Graduate,STEM,2,No information,Other,1,23,1,149,3,1,2,0,5,2,8,3,1
84,6017,city_116,0.743,Male,No relevent experience,Full time course,Graduate,STEM,5,100-500,Pvt Ltd,never,102,0,116,1,1,0,0,5,5,1,5,0
85,26507,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,4,6,0,103,1,0,3,0,5,21,2,5,4
86,16462,city_128,0.527,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,6,<10,Pvt Ltd,2,50,0,128,1,0,3,0,1,6,7,5,2
87,13854,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,Other,4,10/49,Pvt Ltd,2,36,0,104,1,0,3,1,4,4,0,5,2
88,25275,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,1,90,0,16,1,0,3,0,5,16,0,5,1
89,27329,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,30,0,103,1,0,3,0,5,21,4,5,1
90,14164,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Funded Startup,1,164,0,16,1,0,3,0,5,8,1,1,1
91,31021,city_74,0.579,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,20,0,74,1,0,3,0,5,6,1,5,1
92,28038,city_61,0.9129999999999999,Prefer not to say,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,2,18,0,61,3,0,3,0,5,7,3,5,2
93,31131,city_103,0.92,Female,No relevent experience,Part time course,Graduate,Other,3,5000-9999,Other,1,56,0,103,0,1,2,0,4,3,6,3,1
94,6279,city_114,0.9259999999999999,Prefer not to say,Has relevent experience,no_enrollment,Masters,STEM,18,1000-4999,Public Sector,2,46,0,114,3,0,3,2,5,18,2,4,2
95,27425,city_75,0.9390000000000001,Other,Has relevent experience,no_enrollment,Graduate,STEM,16,No information,Other,never,34,0,75,2,0,3,0,5,16,8,3,0
96,10779,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,1,32,1,21,1,0,3,0,5,7,5,5,1
97,7286,city_69,0.856,Prefer not to say,Has relevent experience,Part time course,Graduate,STEM,13,1000-4999,Pvt Ltd,1,17,0,69,3,0,2,0,5,13,2,5,1
98,18410,city_21,0.624,Prefer not to say,No relevent experience,Full time course,Graduate,STEM,1,No information,Other,1,126,0,21,3,1,0,0,5,1,8,3,1
99,3340,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Funded Startup,1,72,0,16,1,0,3,0,5,15,4,1,1
100,15778,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Pvt Ltd,1,15,0,61,1,0,3,0,5,15,0,5,1
101,11349,city_1,0.847,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Pvt Ltd,1,33,0,1,1,0,3,0,5,14,7,5,1
102,50,city_103,0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,1,79,1,103,1,0,3,3,5,21,3,5,1
103,30434,city_21,0.624,Male,No relevent experience,Full time course,High School,Other,9,No information,Other,1,8,0,21,1,1,0,1,4,9,8,3,1
104,19173,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,No information,Other,2,80,0,103,1,0,3,2,5,21,8,3,2
105,25243,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,High School,Other,10,50-99,Pvt Ltd,1,25,0,114,1,0,3,1,4,10,4,5,1
106,31166,city_21,0.624,Female,No relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Pvt Ltd,never,31,0,21,0,1,3,0,5,6,2,5,0
107,24677,city_41,0.8270000000000001,Prefer not to say,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,>4,160,0,41,3,0,3,2,5,21,5,5,5
108,6273,city_21,0.624,Male,Has relevent experience,Part time course,Graduate,STEM,3,<10,Pvt Ltd,never,66,0,21,1,0,2,0,5,3,7,5,0
109,17777,city_103,0.92,Male,No relevent experience,no_enrollment,High School,Other,2,No information,Other,never,42,0,103,1,1,3,1,4,2,8,3,0
110,21104,city_103,0.92,Prefer not to say,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Public Sector,1,66,0,103,3,0,3,0,5,21,4,4,1
111,27322,city_128,0.527,Female,No relevent experience,Part time course,Graduate,STEM,1,No information,Other,never,86,0,128,0,1,2,0,5,1,8,3,0
112,12449,city_176,0.764,Prefer not to say,Has relevent experience,No information,Masters,STEM,4,No information,Other,1,24,0,176,3,0,1,2,5,4,8,3,1
113,15775,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,Arts,4,50-99,Funded Startup,1,31,0,103,2,0,3,0,0,4,4,1,1
114,22693,city_90,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,No information,Other,3,6,0,90,1,0,3,2,5,21,8,3,3
115,16656,city_114,0.9259999999999999,Male,No relevent experience,Full time course,Graduate,Business Degree,1,10/49,Funded Startup,1,86,0,114,1,1,0,0,1,1,0,1,1
116,13750,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Other,5,10/49,Early Stage Startup,1,26,0,40,1,0,3,0,4,5,0,0,1
117,6889,city_28,0.9390000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,13,<10,Pvt Ltd,1,152,0,28,1,0,3,2,5,13,7,5,1
118,21293,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,1,9,0,21,1,0,0,0,5,2,4,5,1
119,11422,city_123,0.738,Female,Has relevent experience,no_enrollment,High School,Other,8,No information,Other,never,28,0,123,0,0,3,1,4,8,8,3,0
120,5727,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,50-99,Pvt Ltd,>4,68,0,21,1,0,3,0,1,21,4,5,5
121,20431,city_152,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,16,500-999,Pvt Ltd,>4,42,0,152,1,0,0,0,5,16,5,5,5
122,26581,city_1,0.847,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Other,2,18,0,1,1,0,3,0,5,5,4,3,2
123,14323,city_75,0.9390000000000001,Prefer not to say,Has relevent experience,Full time course,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,6,0,75,3,0,0,0,5,21,2,5,5
124,1502,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,No information,Other,4,200,0,165,1,0,3,0,5,21,8,3,4
125,16777,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,47,0,65,1,0,3,0,5,12,1,5,5
126,24209,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,1,25,0,16,1,1,3,0,5,2,7,5,1
127,3129,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,5,No information,Other,1,8,0,16,1,1,3,0,5,5,8,3,1
128,27591,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,10,500-999,Pvt Ltd,3,8,0,16,1,1,3,0,5,10,5,5,3
129,29489,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,8,1,16,1,1,3,0,5,6,1,5,1
130,6696,city_89,0.925,Prefer not to say,No relevent experience,Full time course,Masters,STEM,15,<10,Pvt Ltd,2,83,0,89,3,1,0,2,5,15,7,5,2
131,543,city_36,0.893,Female,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,2,11,0,36,0,0,3,0,5,7,4,5,2
132,4053,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,4,13,0,103,1,1,3,0,5,21,2,5,4
133,32584,city_142,0.727,Prefer not to say,Has relevent experience,no_enrollment,Masters,STEM,14,10/49,Pvt Ltd,4,48,0,142,3,0,3,2,5,14,0,5,4
134,33312,city_44,0.725,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,160,0,44,1,0,3,0,5,7,3,5,0
135,12796,city_16,0.91,Prefer not to say,No relevent experience,Full time course,High School,Other,<1,10/49,Pvt Ltd,2,58,0,16,3,1,0,1,4,0,0,5,2
136,12222,city_16,0.91,Prefer not to say,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,43,0,16,3,0,3,2,5,21,3,5,2
137,14455,city_123,0.738,Male,Has relevent experience,Full time course,Graduate,STEM,3,10000+,Pvt Ltd,1,24,0,123,1,0,0,0,5,3,3,5,1
138,655,city_65,0.802,Prefer not to say,Has relevent experience,no_enrollment,Graduate,STEM,18,1000-4999,Pvt Ltd,>4,20,0,65,3,0,3,0,5,18,2,5,5
139,11270,city_46,0.762,Male,Has relevent experience,Part time course,Masters,STEM,9,10000+,Pvt Ltd,1,67,1,46,1,0,2,2,5,9,3,5,1
140,8714,city_45,0.89,Male,No relevent experience,Full time course,Graduate,STEM,6,No information,Other,>4,29,0,45,1,1,0,0,5,6,8,3,5
141,7110,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Pvt Ltd,2,10,0,67,1,0,3,2,5,12,1,5,2
142,8435,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,>20,No information,Other,>4,7,1,103,1,0,2,0,5,21,8,3,5
143,30010,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Pvt Ltd,2,106,0,103,1,0,3,0,5,17,1,5,2
144,13034,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,1,72,0,103,1,0,3,2,5,10,4,5,1
145,15830,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Early Stage Startup,2,206,0,16,1,0,3,2,5,7,4,0,2
146,12676,city_114,0.9259999999999999,Male,Has relevent experience,Part time course,Graduate,STEM,12,10000+,Pvt Ltd,1,39,0,114,1,0,2,0,5,12,3,5,1
147,9084,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,1,14,0,16,1,0,3,0,5,11,0,5,1
148,2218,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,2,105,0,16,0,0,3,0,5,7,5,5,2
149,17077,city_134,0.698,Prefer not to say,No relevent experience,no_enrollment,Graduate,Other,<1,No information,Other,never,106,0,134,3,1,3,0,4,0,8,3,0
150,16338,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,88,0,21,1,0,3,0,5,7,4,5,1
151,30097,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,>4,26,0,114,1,0,3,2,5,21,6,5,5
152,180,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,2,100-500,Funded Startup,2,35,0,103,1,1,3,0,2,2,1,1,2
153,30408,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,8,0,114,1,0,3,0,5,5,4,5,1
154,27281,city_103,0.92,Prefer not to say,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,1,32,0,103,3,0,3,0,5,8,3,5,1
155,3124,city_16,0.91,Male,Has relevent experience,Full time course,Graduate,No Major,2,<10,Pvt Ltd,1,91,0,16,1,0,0,0,3,2,7,5,1
156,26068,city_93,0.865,Male,Has relevent experience,Full time course,Graduate,STEM,6,10000+,Pvt Ltd,>4,218,0,93,1,0,0,0,5,6,3,5,5
157,27205,city_114,0.9259999999999999,Male,No relevent experience,Full time course,Graduate,STEM,9,No information,Other,never,75,1,114,1,1,0,0,5,9,8,3,0
158,9339,city_180,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,No information,Other,3,57,0,180,1,0,3,0,5,3,8,3,3
159,28438,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,1000-4999,Pvt Ltd,>4,68,1,162,1,0,3,0,5,13,2,5,5
160,12887,city_84,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,6,No information,Other,1,13,1,84,1,0,0,0,5,6,8,3,1
161,3365,city_16,0.91,Prefer not to say,Has relevent experience,no_enrollment,Graduate,Humanities,>20,1000-4999,Pvt Ltd,>4,23,0,16,3,0,3,0,2,21,2,5,5
162,21525,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,never,30,0,21,1,0,3,2,5,15,4,5,0
163,13359,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,7,5000-9999,Pvt Ltd,>4,7,1,21,1,0,3,2,5,7,6,5,5
164,16924,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Arts,7,1000-4999,Pvt Ltd,3,21,0,103,1,0,3,2,0,7,2,5,3
165,13919,city_44,0.725,Male,No relevent experience,no_enrollment,Graduate,STEM,15,No information,Other,1,19,0,44,1,1,3,0,5,15,8,3,1
166,13389,city_138,0.836,Prefer not to say,Has relevent experience,no_enrollment,Masters,No Major,7,50-99,Pvt Ltd,2,17,0,138,3,0,3,2,3,7,4,5,2
167,32434,city_104,0.924,Male,No relevent experience,Full time course,High School,Other,5,No information,Other,2,25,0,104,1,1,0,1,4,5,8,3,2
168,12808,city_103,0.92,Prefer not to say,Has relevent experience,no_enrollment,Graduate,STEM,4,500-999,Other,1,16,0,103,3,0,3,0,5,4,5,3,1
169,22490,city_114,0.9259999999999999,Male,No relevent experience,Full time course,High School,Other,6,10000+,Pvt Ltd,4,144,0,114,1,1,0,1,4,6,3,5,4
170,23114,city_160,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Other,2,92,0,160,0,0,3,2,5,21,1,3,2
